number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0.47333333333333333,2025-12-09 09:31:54.892445,2025-12-09 09:31:55.123054,0 days 00:00:00.230609,0.5914734284866388,4.475969246804094,0.028481834885240555,10,9,326,0.5725560614448386,COMPLETE
1,0.6095238095238095,2025-12-09 09:31:55.125765,2025-12-09 09:31:55.283095,0 days 00:00:00.157330,0.58302387124305,1.7179766134938168,0.045363452506366045,8,4,152,0.7204194083600707,COMPLETE
2,0.47333333333333333,2025-12-09 09:31:55.287105,2025-12-09 09:31:55.383789,0 days 00:00:00.096684,0.7889244557825417,1.1787102640342524,0.2931564597749473,2,8,109,0.9233131678200943,COMPLETE
3,0.5971428571428571,2025-12-09 09:31:55.385794,2025-12-09 09:31:55.553829,0 days 00:00:00.168035,0.7723677421473647,2.679899554985142,0.11963339702492412,3,1,152,0.5346382826000831,COMPLETE
4,0.47333333333333333,2025-12-09 09:31:55.560230,2025-12-09 09:31:55.768581,0 days 00:00:00.208351,0.9337917199932142,4.097918522184635,0.0011495042256280442,3,8,260,0.9693801445283187,COMPLETE
5,0.5961904761904762,2025-12-09 09:31:55.772729,2025-12-09 09:31:55.960163,0 days 00:00:00.187434,0.7938183186470478,4.3300562800541735,0.26552649011514007,4,5,249,0.707941247803838,COMPLETE
6,0.47333333333333333,2025-12-09 09:31:55.964173,2025-12-09 09:31:56.110295,0 days 00:00:00.146122,0.8380013827907341,2.8793657579302883,0.0076234922068822005,7,6,141,0.5174861192790039,COMPLETE
7,0.7028571428571428,2025-12-09 09:31:56.114327,2025-12-09 09:31:56.370194,0 days 00:00:00.255867,0.9312779409422398,2.3198707336648527,0.01668101847314333,5,5,214,0.9743581689688523,COMPLETE
8,0.5552380952380952,2025-12-09 09:31:56.374203,2025-12-09 09:31:56.641974,0 days 00:00:00.267771,0.556441186512066,3.442106801474175,0.06897694091078696,2,4,302,0.5485880663588996,COMPLETE
9,0.5428571428571429,2025-12-09 09:31:56.645973,2025-12-09 09:31:56.822227,0 days 00:00:00.176254,0.7399405691723244,0.13597605272006485,0.0011442713907753577,3,2,100,0.9600310258370451,COMPLETE
10,0.6228571428571429,2025-12-09 09:31:56.827863,2025-12-09 09:31:56.924289,0 days 00:00:00.096426,0.988511788626088,1.8653664046368092,0.009726992719013861,5,6,53,0.8486271918711319,COMPLETE
11,0.5961904761904762,2025-12-09 09:31:56.928948,2025-12-09 09:31:57.032437,0 days 00:00:00.103489,0.991942286344804,1.7729051420593092,0.008442938847361622,5,6,64,0.8320708500336328,COMPLETE
12,0.5161904761904762,2025-12-09 09:31:57.036447,2025-12-09 09:31:57.320943,0 days 00:00:00.284496,0.9051746940913028,1.016982578122404,0.009068181745660755,6,7,223,0.8355736720698659,COMPLETE
13,0.47333333333333333,2025-12-09 09:31:57.323943,2025-12-09 09:31:57.529913,0 days 00:00:00.205970,0.999822419944369,2.080695974239467,0.004090785131643389,5,10,199,0.8642434988465447,COMPLETE
14,0.5561904761904761,2025-12-09 09:31:57.533484,2025-12-09 09:31:57.871255,0 days 00:00:00.337771,0.8918553512260896,3.361961736554214,0.00358070490097911,8,3,190,0.9009993163103799,COMPLETE
15,0.6495238095238095,2025-12-09 09:31:57.876257,2025-12-09 09:31:58.205886,0 days 00:00:00.329629,0.9517191673533693,0.8468726383334977,0.01737037242407529,6,5,278,0.7709802004693079,COMPLETE
16,0.6095238095238096,2025-12-09 09:31:58.211245,2025-12-09 09:31:58.529651,0 days 00:00:00.318406,0.7031063539976273,0.05774794458944987,0.02019611124142259,7,4,286,0.6542267768379357,COMPLETE
17,0.6228571428571429,2025-12-09 09:31:58.532651,2025-12-09 09:31:58.953680,0 days 00:00:00.421029,0.6589814667248584,0.7716813398935896,0.03913397635139449,10,5,348,0.7650274929138405,COMPLETE
18,0.6638095238095237,2025-12-09 09:31:58.959508,2025-12-09 09:31:59.451578,0 days 00:00:00.492070,0.8394035128035479,0.464679961845599,0.01796761900177619,6,2,259,0.7731087381375419,COMPLETE
