,Timestamps,Sunspots,AR,Flare Class
0,1997-09-24 02:40:00,0,11,M5.9
1,1997-11-03 10:15:00,0,9,M4.2
2,1997-11-27 12:55:00,4,9,X2.6
3,1997-11-29 22:25:00,7,6,M6.4
4,1998-04-27 08:55:00,1,7,X1.0
5,1998-05-10 13:10:00,6,8,M3.9
6,1998-11-22 16:10:00,11,7,X2.5
7,1998-11-23 10:55:00,7,15,X2.2
8,1999-03-16 21:30:00,35,13,M6.2
9,1999-04-04 05:15:00,21,17,M5.4
10,1999-05-08 14:20:00,43,25,M4.6
11,1999-06-17 16:45:00,0,28,M3.6
12,1999-07-16 15:40:00,17,11,M3.1
13,1999-07-24 07:45:00,26,11,M3.3
14,1999-07-29 19:30:00,49,22,M5.1
15,1999-08-04 05:45:00,36,27,M6.0
16,1999-08-21 16:30:00,14,6,M3.7
17,1999-08-25 01:30:00,32,11,M3.6
18,1999-08-27 12:50:00,43,21,M3.0
19,1999-08-28 17:50:00,59,17,X1.1
20,1999-11-05 18:00:00,29,18,M3.0
21,1999-11-14 15:45:00,42,16,M5.6
22,1999-11-16 04:05:00,38,28,M3.0
23,1999-11-20 22:15:00,31,17,M3.2
24,1999-11-26 13:35:00,60,19,M6.0
25,1999-11-28 01:25:00,29,32,M3.5
26,1999-12-28 00:35:00,36,17,M4.5
27,2000-01-18 17:05:00,0,24,M3.9
28,2000-03-03 10:40:00,36,25,M4.0
29,2000-03-18 23:50:00,9,21,M3.9
30,2000-03-24 07:40:00,0,31,X1.8
31,2000-03-30 15:55:00,44,28,M3.4
32,2000-04-09 23:25:00,30,16,M3.1
33,2000-05-04 10:55:00,22,15,M6.8
34,2000-05-16 15:45:00,44,25,M3.2
35,2000-06-04 22:00:00,21,10,M3.2
36,2000-06-06 13:55:00,23,22,M7.1
