number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0.47333333333333333,2025-11-27 16:39:33.240862,2025-11-27 16:39:43.984688,0 days 00:00:10.743826,0.6491368522333367,0.8178204604363315,0.2139294036542203,8,7,120,0.7461604825867354,COMPLETE
1,0.6199999999999999,2025-11-27 16:39:44.005921,2025-11-27 16:40:16.242113,0 days 00:00:32.236192,0.5396031012673635,3.749626788330679,0.01871539457885469,6,2,189,0.8451084279957088,COMPLETE
2,0.47333333333333333,2025-11-27 16:40:16.246743,2025-11-27 16:40:22.953991,0 days 00:00:06.707248,0.6479019233698822,0.618198430214344,0.02274636238415104,5,8,61,0.5566865070572169,COMPLETE
3,0.5,2025-11-27 16:40:22.957995,2025-11-27 16:40:30.882029,0 days 00:00:07.924034,0.5392228234923044,3.804170668974228,0.2664333434735887,7,9,81,0.5005830026878076,COMPLETE
4,0.47333333333333333,2025-11-27 16:40:30.886035,2025-11-27 16:40:58.779208,0 days 00:00:27.893173,0.689164449756412,0.5591677177908394,0.004069761026288241,6,9,325,0.8277359836310878,COMPLETE
5,0.47333333333333333,2025-11-27 16:40:58.785215,2025-11-27 16:41:26.971421,0 days 00:00:28.186206,0.9613367499455641,3.0596347193119295,0.00570192564222397,4,10,289,0.5347814397402376,COMPLETE
6,0.47333333333333333,2025-11-27 16:41:26.977592,2025-11-27 16:41:58.442617,0 days 00:00:31.465025,0.7819859652172926,1.2576548821069056,0.0026102125912786426,4,6,341,0.5906177845743776,COMPLETE
7,0.5819047619047619,2025-11-27 16:41:58.446622,2025-11-27 16:42:24.207874,0 days 00:00:25.761252,0.6632887546684665,2.1068646101608115,0.1906165499652872,7,2,244,0.5495937442187157,COMPLETE
8,0.5923809523809523,2025-11-27 16:42:24.211878,2025-11-27 16:43:06.229107,0 days 00:00:42.017229,0.8343911024687912,4.487298813005356,0.035826197158081406,6,2,252,0.922173317166088,COMPLETE
9,0.5676190476190476,2025-11-27 16:43:06.235114,2025-11-27 16:44:03.386486,0 days 00:00:57.151372,0.9816757222828874,0.04755835161516786,0.026041251363314203,7,3,348,0.7437783606274977,COMPLETE
10,0.5819047619047619,2025-11-27 16:44:03.391993,2025-11-27 16:44:22.409269,0 days 00:00:19.017276,0.5007166529026587,4.9311842981696605,0.07353730922028848,10,4,159,0.9807234369109972,COMPLETE
11,0.5923809523809523,2025-11-27 16:44:22.413211,2025-11-27 16:45:11.616687,0 days 00:00:49.203476,0.832116980051339,4.613162810755883,0.010279038009584221,2,1,210,0.9239627531806665,COMPLETE
12,0.5809523809523809,2025-11-27 16:45:11.620693,2025-11-27 16:45:42.854938,0 days 00:00:31.234245,0.8826299408772116,3.8313674159380313,0.05665793578673458,9,4,248,0.8574249777247804,COMPLETE
13,0.5923809523809523,2025-11-27 16:45:42.859945,2025-11-27 16:46:49.258051,0 days 00:01:06.398106,0.7573735087268618,3.9410124458712383,0.0010974457482829845,5,1,174,0.8337139198226693,COMPLETE
14,0.5285714285714286,2025-11-27 16:46:49.262055,2025-11-27 16:47:17.865658,0 days 00:00:28.603603,0.8938593013962342,2.9321491624498943,0.047396258569479766,2,4,223,0.668495386643881,COMPLETE
15,0.6333333333333333,2025-11-27 16:47:17.869404,2025-11-27 16:48:21.719726,0 days 00:01:03.850322,0.5752392869178917,4.297506449096337,0.009832906354185511,5,2,276,0.9161237802292499,COMPLETE
16,0.580952380952381,2025-11-27 16:48:21.724319,2025-11-27 16:49:09.632391,0 days 00:00:47.908072,0.5678138724631677,3.2593610436849216,0.012681024796375775,4,5,303,0.8863855128086627,COMPLETE
17,0.6599999999999999,2025-11-27 16:49:09.636396,2025-11-27 16:50:03.358599,0 days 00:00:53.722203,0.5752502590280921,2.0767866592549558,0.007957796025049315,3,2,173,0.9957953390962327,COMPLETE
18,0.6199999999999999,2025-11-27 16:50:03.360601,2025-11-27 16:50:47.409073,0 days 00:00:44.048472,0.6111488502343089,2.131187107165542,0.0074495372919660095,3,3,153,0.9851038178977086,COMPLETE
19,0.6085714285714285,2025-11-27 16:50:47.413077,2025-11-27 16:51:11.145424,0 days 00:00:23.732347,0.7198511129199209,1.7372619292798748,0.001993720597823949,3,6,122,0.9953424320539501,COMPLETE
20,0.6476190476190476,2025-11-27 16:51:11.148011,2025-11-27 16:51:50.155140,0 days 00:00:39.007129,0.5934139498469142,2.6731106437360603,0.1062766334915962,3,1,277,0.7880242611338253,COMPLETE
21,0.6209523809523809,2025-11-27 16:51:50.161146,2025-11-27 16:52:29.996114,0 days 00:00:39.834968,0.6007988795988803,2.3413279507932687,0.11464503326704609,3,1,290,0.9318652828103052,COMPLETE
22,0.6209523809523809,2025-11-27 16:52:30.002308,2025-11-27 16:53:27.170386,0 days 00:00:57.168078,0.60282502458383,1.6169169851218788,0.011393037700128667,5,3,263,0.7851192517474208,COMPLETE
23,0.6209523809523809,2025-11-27 16:53:27.175462,2025-11-27 16:54:11.349413,0 days 00:00:44.173951,0.5237403142393852,2.689170608575821,0.0046869067291879715,2,2,222,0.6794372654988717,COMPLETE
24,0.6342857142857141,2025-11-27 16:54:11.355295,2025-11-27 16:54:48.759779,0 days 00:00:37.404484,0.5757748995089401,3.3578797171419423,0.11810496248124393,3,1,278,0.946973311128475,COMPLETE
25,0.660952380952381,2025-11-27 16:54:48.763286,2025-11-27 16:55:13.786501,0 days 00:00:25.023215,0.6263172683397213,3.2092756866878402,0.1329949513174283,3,1,198,0.9551096901427988,COMPLETE
26,0.6476190476190476,2025-11-27 16:55:13.790113,2025-11-27 16:55:45.140921,0 days 00:00:31.350808,0.6911469232773503,2.67204580632103,0.10786185998649803,4,1,196,0.7944479180088734,COMPLETE
27,0.6066666666666667,2025-11-27 16:55:45.147213,2025-11-27 16:56:03.669828,0 days 00:00:18.522615,0.625537968764701,1.5247556805701192,0.07658994187850998,2,3,130,0.6960809542586264,COMPLETE
28,0.6228571428571429,2025-11-27 16:56:03.673833,2025-11-27 16:56:19.812893,0 days 00:00:16.139060,0.6864221439677298,1.9997949346719353,0.03417985134588068,3,5,143,0.6173232921394832,COMPLETE
29,0.5676190476190476,2025-11-27 16:56:19.816898,2025-11-27 16:56:37.860507,0 days 00:00:18.043609,0.6393577452328545,1.0932769404933775,0.21062827196107095,4,7,177,0.8847340475532867,COMPLETE
30,0.6333333333333333,2025-11-27 16:56:37.864569,2025-11-27 16:57:10.597027,0 days 00:00:32.732458,0.7336159398583689,2.4813950957120827,0.146153840774272,2,1,226,0.9597462633906128,COMPLETE
31,0.6599999999999999,2025-11-27 16:57:10.602170,2025-11-27 16:57:43.127587,0 days 00:00:32.525417,0.6798226145242983,2.7574109493560996,0.08976582995613462,4,1,199,0.7675768383754622,COMPLETE
32,0.5923809523809523,2025-11-27 16:57:43.131590,2025-11-27 16:58:06.392613,0 days 00:00:23.261023,0.6583004893270097,3.4398846605492674,0.28879676776968133,3,2,188,0.7667425149331164,COMPLETE
33,0.6342857142857141,2025-11-27 16:58:06.397861,2025-11-27 16:58:25.248547,0 days 00:00:18.850686,0.5591293240100346,3.049410398584421,0.0842221521742667,4,1,95,0.8659201185547092,COMPLETE
34,0.6619047619047619,2025-11-27 16:58:25.253560,2025-11-27 16:58:50.675787,0 days 00:00:25.422227,0.608413153541671,2.7919396366503673,0.16540211889382303,5,2,207,0.728413585564257,COMPLETE
35,0.6342857142857143,2025-11-27 16:58:50.679292,2025-11-27 16:59:31.551272,0 days 00:00:40.871980,0.6386074571035594,3.4766784586649404,0.017309475200266385,5,2,207,0.7412889653915036,COMPLETE
36,0.5542857142857143,2025-11-27 16:59:31.555948,2025-11-27 16:59:50.854663,0 days 00:00:19.298715,0.5241656145157406,2.3114070243577167,0.1667649535591905,5,3,170,0.7034956059158113,COMPLETE
37,0.6476190476190476,2025-11-27 16:59:50.856665,2025-11-27 17:00:21.500677,0 days 00:00:30.644012,0.6737401798686171,2.951911483060313,0.050604579311489956,4,2,193,0.6388968645831132,COMPLETE
38,0.6076190476190476,2025-11-27 17:00:21.506772,2025-11-27 17:00:43.190182,0 days 00:00:21.683410,0.7175989814960673,1.8683787561158371,0.016075770224080955,6,4,109,0.7223078599051285,COMPLETE
39,0.5,2025-11-27 17:00:43.194090,2025-11-27 17:00:50.210371,0 days 00:00:07.016281,0.7775350948102929,4.091591506019386,0.25371748092498464,6,8,57,0.8035198511364352,COMPLETE
